Title,Bias Rating,Factual Reporting,Country,Press Freedom Rating,Media Type:,Traffic/Popularity:,MBFC Credibility Rating:,Source,Unnamed: 9,link
ThoughtCo (www.thoughtco.com),CENTER,HIGH,USA ,USA (45/180 Press Freedom),,High Traffic,HIGH ,https://www.thoughtco.com,,www.thoughtco.com
Third Way (www.thirdway.org),CENTER,HIGH,USA,,,,,https://www.thirdway.org,,www.thirdway.org
The ZDF (Zweites Deutsches Fernsehen) (www.zdf.de),LEAST BIASED,HIGH,Germany ,Germany (13/180 Press Freedom),,High Traffic,HIGH ,https://www.zdf.de,,www.zdf.de
The Waterloo-Cedar Falls Courier (wcfcourier.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://wcfcourier.com,,wcfcourier.com
The Vindicator (vindy.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://www.vindy.com/,,www.vindy.com
The Town Talk (thetowntalk.com),CENTER,HIGH,USA,,,,,https://www.thetowntalk.com,,www.thetowntalk.com
The Times and Democrat (thetandd.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://thetandd.com,,thetandd.com
The Times (Illinois) (www.mywebtimes.com),LEAST BIASED,HIGH,,,,,,https://www.mywebtimes.com,,www.mywebtimes.com
The Tennessean (tennessean.com),CENTER,HIGH,USA,,,High Traffic,HIGH ,https://www.tennessean.com/,,www.tennessean.com
The Strategy Bridge (thestrategybridge.org),CENTER,HIGH,USA,MOSTLY FREEDOM,Organization/Foundation,Minimal Traffic,HIGH ,https://thestrategybridge.org,,thestrategybridge.org
The Star Democrat,LEAST BIASED,HIGH,,,,,,http://stardem.com,,stardem.com
The Southern Illinoisan (thesouthern.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://thesouthern.com,,thesouthern.com
The Sociable (sociable.co),LEAST BIASED,HIGH,Ireland,MODERATE FREEDOM,Website,Minimal Traffic,HIGH ,https://sociable.co,,sociable.co
The Smoking Gun (www.thesmokinggun.com),CENTER,HIGH,USA,,,,,http://www.thesmokinggun.com/about,,www.thesmokinggun.com
The Sentinel (Pennsylvania) (cumberlink.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://cumberlink.com,,cumberlink.com
The Scotsman (www.scotsman.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,High Traffic,HIGH ,https://www.scotsman.com,,www.scotsman.com
The Republican (Masslive) (www.masslive.com),CENTER,HIGH,USA,,,,,https://www.masslive.com,,www.masslive.com
The Republic (Indiana) (therepublic.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,http://www.therepublic.com/,,www.therepublic.com
The Register UK,CENTER,HIGH,United Kingdom ,United Kingdom (33/180 Press Freedom),,High Traffic,HIGH ,https://www.theregister.com/,,www.theregister.com
The Record – Stockton (recordnet.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://www.recordnet.com/,,www.recordnet.com
The Post-Standard (Syracuse) (www.syracuse.com),LEAST BIASED,HIGH,,,,,,https://www.syracuse.com,,www.syracuse.com
The Post Star (poststar.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Minimal Traffic,HIGH ,https://poststar.com,,poststar.com
The Post and Courier (www.postandcourier.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.postandcourier.com,,www.postandcourier.com
The Outlook (Monmouth University) (outlook.monmouth.edu),CENTER,HIGH,USA,,,,,https://outlook.monmouth.edu,,outlook.monmouth.edu
The News Literacy Project (www.thenewsliteracyproject.org),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Minimal Traffic,HIGH ,https://www.thenewsliteracyproject.org,,www.thenewsliteracyproject.org
The News (Mexico City) (www.thenews.mx),LEAST BIASED,,,,,,,https://www.thenews.mx,,www.thenews.mx
The Nevada Independent (thenevadaindependent.com),LEAST BIASED,HIGH,,,,,,https://thenevadaindependent.com,,thenevadaindependent.com
The Morning Call (www.mcall.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH ,https://www.mcall.com,,www.mcall.com
The Monitor (Texas),CENTER,HIGH,USA,,,,,https://www.themonitor.com,,www.themonitor.com
The Modesto Bee (www.modbee.com),CENTER,HIGH,USA,,,,,https://www.modbee.com,,www.modbee.com
The Meme Policeman (memepoliceman.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Minimal Traffic,,https://memepoliceman.com,,memepoliceman.com
The Marshall Project (www.themarshallproject.org),CENTER,HIGH,USA,,,,,https://www.themarshallproject.org,,www.themarshallproject.org
The Marietta Times (mariettatimes.com),CENTER,HIGH,USA,,Newspaper,Medium Traffic,,https://www.mariettatimes.com/,,www.mariettatimes.com
The Macon Telegraph (www.macon.com),CENTER,HIGH,USA,,,,,https://www.macon.com,,www.macon.com
The Journal Standard (www.journalstandard.com),CENTER,HIGH,USA,USA (45/180 Press Freedom),,,,https://www.journalstandard.com,,www.journalstandard.com
The Jordan Times (www.jordantimes.com),LEAST BIASED,,Jordan,LOW FREEDOM,Newspaper,High Traffic,,http://www.jordantimes.com,,www.jordantimes.com
The Jamestown Foundation (jamestown.org),CENTER,HIGH,USA,,,,,https://jamestown.org,,jamestown.org
The Hill (thehill.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,High Traffic,HIGH ,https://thehill.com,,thehill.com
"The Herald-Sun (Durham, North Carolina) (www.heraldsun.com)",LEAST BIASED,HIGH,,,,,,https://ww.heraldsun.com,,ww.heraldsun.com
The Herald-Dispatch,LEAST BIASED,HIGH,,,,,,https://heralddispatch.com,,heralddispatch.com
The Herald News (Massachusetts),CENTER,HIGH,USA,,,,,https://www.heraldnews.com,,www.heraldnews.com
The Herald Journal (Utah),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://www.hjnews.com/,,www.hjnews.com
The Flip Side (theflipside.io),CENTER,HIGH,USA,,,Minimal Traffic,HIGH,https://theflipside.io,,theflipside.io
The Economist (www.economist.com),CENTER,HIGH,United Kingdom,United Kingdom (35/180 Press Freedom),,High Traffic,HIGH ,https://www.economist.com,,www.economist.com
The Diplomat Magazine (thediplomat.com),LEAST BIASED,,Japan,,,,,https://thediplomat.com,,thediplomat.com
The Defcon Warning System (www.defconwarningsystem.com),CENTER,HIGH,USA,,,Minimal Traffic,HIGH ,https://www.defconwarningsystem.com,,www.defconwarningsystem.com
The Daily Progress (www.dailyprogress.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://www.dailyprogress.com,,www.dailyprogress.com
The Daily Northwestern (dailynorthwestern.com),LEAST BIASED,HIGH,,,,,,https://dailynorthwestern.com,,dailynorthwestern.com
The Daily News (Longview) (tdn.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://tdn.com,,tdn.com
The Daily Gazette (dailygazette.com),LEAST BIASED,HIGH,,,,,,https://dailygazette.com,,dailygazette.com
The Daily Chronicle (daily-chronicle.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://www.daily-chronicle.com/,,www.daily-chronicle.com
The Conversation (theconversation.com),LEAST BIASED,HIGH,Australia ,Australia (26/180 Press Freedom),,High Traffic,HIGH ,https://theconversation.com,,theconversation.com
The Columbian (columbian.com),CENTER,HIGH,USA,,Newspaper,Medium Traffic,,https://www.columbian.com/,,www.columbian.com
The Cipher Brief (www.thecipherbrief.com),CENTER,HIGH,USA,,,Minimal Traffic,,https://www.thecipherbrief.com/,,www.thecipherbrief.com
The Canadian Press (www.thecanadianpress.com),CENTER,HIGH,Canada ,Canada (14/180 Press Freedom),,High Traffic,HIGH ,https://www.thecanadianpress.com,,www.thecanadianpress.com
The Battlefords News Optimist,LEAST BIASED,,Unknown,,,,,https://www.sasktoday.ca/,,www.sasktoday.ca
The Balance (www.thebalance.com),CENTER,HIGH,USA ,USA (44/180 Press Freedom),,High Traffic,HIGH ,https://www.thebalance.com,,www.thebalance.com
The Australian Financial Review (www.afr.com),LEAST BIASED,HIGH,Australia,MOSTLY FREEDOM,Newspaper,High Traffic,HIGH ,http://www.afr.com/,,www.afr.com
The Auburn Citizen (auburnpub.com),LEAST BIASED,HIGH,,,,,,https://auburnpub.com/,,auburnpub.com
That’s Nonsense (www.thatsnonsense.com),CENTER,HIGH,United Kingdom,,,,,https://www.thatsnonsense.com,,www.thatsnonsense.com
Texas Standard (www.texasstandard.org),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.texasstandard.org/,,www.texasstandard.org
Telegram & Gazette,CENTER,HIGH,USA,,,,,https://www.telegram.com,,www.telegram.com
Taipei Times (www.taipeitimes.com),LEAST BIASED,,Taiwan,,,,,https://www.taipeitimes.com,,www.taipeitimes.com
Stratfor (www.stratfor.com),CENTER,HIGH,USA,,,,,https://www.stratfor.com,,www.stratfor.com
StrategyPage (www.strategypage.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH ,https://www.strategypage.com,,www.strategypage.com
Stimson Center (stimson.org),CENTER,HIGH,USA,,,,,https://www.stimson.org,,www.stimson.org
Statista,LEAST BIASED,HIGH,Germany ,Germany (11/180 Press Freedom),,High Traffic,HIGH ,https://statista.com,,statista.com
Statesville Record & Landmark,CENTER,HIGH,USA,USA (45/180 Press Freedom),,,HIGH ,https://www.statesville.com,,www.statesville.com
Statesman Journal (www.statesmanjournal.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.statesmanjournal.com,,www.statesmanjournal.com
Staten Island Advance (www.silive.com),CENTER,HIGH,USA,,,,,https://www.silive.com,,www.silive.com
Stars and Stripes (www.stripes.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.stripes.com,,www.stripes.com
St. Cloud Times (www.sctimes.com),CENTER,HIGH,USA,,,,,https://www.sctimes.com,,www.sctimes.com
Spectrum Report (spectrumreport.com),CENTER,MIXED,USA,MOSTLY FREEDOM,Website,Minimal Traffic,MEDIUM ,https://spectrumreport.com,,spectrumreport.com
Spectrum News – NY1 (www.ny1.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,http://www.ny1.com/nyc/all-boroughs,,www.ny1.com
South Florida Sun-Sentinel (www.sun-sentinel.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,High Traffic,HIGH ,https://www.sun-sentinel.com/,,www.sun-sentinel.com
South Bend Tribune,CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH,https://southbnendtribune,,southbnendtribune
SmartNews (www.smartnews.com),LEAST BIASED,HIGH,Japan ,Japan (67/180 Press Freedom),,High Traffic,MEDIUM,https://www.smartnews.com,,www.smartnews.com
Sky News (news.sky.com),CENTER,HIGH,United Kingdom,MOSTLY FREEDOM,TV Station,High Traffic,HIGH ,https://news.sky.com,,news.sky.com
Sioux City Journal (siouxcityjournal.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://siouxcityjournal.com,,siouxcityjournal.com
Simple Politics (www.simplepolitics.co.uk),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Minimal Traffic,HIGH,https://www.simplepolitics.co.uk,,www.simplepolitics.co.uk
Shreveport Times (shreveporttimes.com),CENTER,HIGH,USA,,,,,https://www.shreveporttimes.com,,www.shreveporttimes.com
Shorenstein Center (shorensteincenter.org),CENTER,HIGH,USA,MOSTLY FREEDOM,Organization/Foundation,Minimal Traffic,HIGH,https://shorensteincenter.org,,shorensteincenter.org
Shareably (www.shareably.net),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,MEDIUM ,https://www.shareably.net,,www.shareably.net
SCOTUSblog (www.scotusblog.com),CENTER,HIGH,USA ,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.scotusblog.com,,www.scotusblog.com
Scoopnest (www.scoopnest.com),LEAST BIASED,MIXED,France,,,,,http://www.scoopnest.com/,,www.scoopnest.com
Science Debate (sciencedebate.org),CENTER,HIGH,USA,,,,,https://sciencedebate.org,,sciencedebate.org
Sayfie Review (www.sayfiereview.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Minimal Traffic,HIGH,https://www.sayfiereview.com,,www.sayfiereview.com
Sarasota Herald-Tribune (www.heraldtribune.com),LEAST BIASED,HIGH,,,,,,http://www.heraldtribune.com,,www.heraldtribune.com
Santa Maria Times (santamariatimes.com),LEAST BIASED,,,,,,,http://santamariatimes.com/,,santamariatimes.com
San Marcos Daily Record (www.sanmarcosrecord.com),CENTER,HIGH,USA,,,,,https://www.sanmarcosrecord.com,,www.sanmarcosrecord.com
San Diego Union Tribune (www.sandiegouniontribune.com),LEAST BIASED,HIGH,,,,,,https://www.sandiegouniontribune.com,,www.sandiegouniontribune.com
RTE (Radio Television of Ireland) (www.rte.ie),LEAST BIASED,HIGH,Ireland,MODERATE FREEDOM,TV Station,High Traffic,HIGH,https://www.rte.ie,,www.rte.ie
Roll Call (www.rollcall.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,VERY HIGH,https://www.rollcall.com,,www.rollcall.com
Riverdale Press (riverdalepress.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Minimal Traffic,HIGH,https://riverdalepress.com/,,riverdalepress.com
RiverBender.com,CENTER,HIGH,USA ,USA (44/180 Press Freedom),,Medium Traffic,HIGH,https://www.riverbender.com/,,www.riverbender.com
RFI – Radio France Internationale (rfi.fr/en/),LEAST BIASED,,France,MOSTLY FREEDOM,Radio Station,High Traffic,,http://www.rfi.fr,,www.rfi.fr
Reuters (www.reuters.com),CENTER,HIGH,United Kingdom,MOSTLY FREEDOM,Online Newspaper,High Traffic,HIGH,https://www.reuters.com,,www.reuters.com
Reporters Lab (reporterslab.org),CENTER,HIGH,USA ,USA (44/180 Press Freedom),,Minimal Traffic,HIGH,https://reporterslab.org/fact-checking/,,reporterslab.org
Reporter Without Borders (rsf.org),LEAST BIASED,HIGH,France ,France (34/180 Press Freedom),,Medium Traffic,HIGH,https://rsf.org,,rsf.org
Recode (www.recode.net),CENTER,HIGH,USA,,,,,https://www.vox.com,,www.vox.com
Rare News (rare.us),CENTER,HIGH,USA,,,,,https://rare.us,,rare.us
Rapid City Journal (rapidcityjournal.com),LEAST BIASED,HIGH,,,,,,http://rapidcityjournal.com/,,rapidcityjournal.com
Rand Corporation (www.rand.org),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.rand.org/,,www.rand.org
Radio Free Europe / Radio Liberty (www.rferl.org),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,High Traffic,HIGH,https://www.rferl.org,,www.rferl.org
Quad City Times (qctimes.com),LEAST BIASED,HIGH,,,,,,http://qctimes.com/,,qctimes.com
Public Religion Research Institute (www.prri.org),CENTER,HIGH,USA,,,,,https://www.prri.org,,www.prri.org
Public Policy Polling (www.publicpolicypolling.com),CENTER,HIGH,USA,,,,,https://www.publicpolicypolling.com,,www.publicpolicypolling.com
Procon.org (www.procon.org),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.procon.org,,www.procon.org
PR Newswire (prnewswire.mediaroom.com),LEAST BIASED,HIGH,,,Website,High Traffic,HIGH,https://prnewswire.mediaroom.com,,prnewswire.mediaroom.com
Poynter Institute (www.poynter.org),CENTER,HIGH,USA ,USA (44/180 Press Freedom),,Medium Traffic,HIGH,https://www.poynter.org,,www.poynter.org
Polygraph.info (www.polygraph.info),CENTER,HIGH,USA,,,,,https://www.polygraph.info,,www.polygraph.info
Political Wire (politicalwire.com),CENTER,HIGH,USA,USA (45/180 Press Freedom),,,,https://politicalwire.com,,politicalwire.com
Pocono Record (www.poconorecord.com),LEAST BIASED,HIGH,,,,,,https://www.poconorecord.com,,www.poconorecord.com
Places Journal (placesjournal.org),CENTER,HIGH,USA ,USA (45/180 Press Freedom),,Minimal Traffic,HIGH,https://placesjournal.org,,placesjournal.org
Pew Research (www.pewresearch.org),CENTER,HIGH,USA ,USA (45/180 Press Freedom),Organization/Foundation,,,https://www.pewresearch.org,,www.pewresearch.org
Peterson Institute for International Economics (piie.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://piie.com/,,piie.com
Peterson Foundation ,CENTER,HIGH,USA,,,,,https://www.pgpf.org,,www.pgpf.org
Peoria Journal Star (pjstar.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://www.pjstar.com/,,www.pjstar.com
Pensacola News Journal (www.pnj.com),LEAST BIASED,HIGH,,,,,,https://www.pnj.com,,www.pnj.com
Patheos (www.patheos.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,MEDIUM ,https://www.patheos.com/,,www.patheos.com
Patch (patch.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,High Traffic,HIGH,https://patch.com/,,patch.com
Pacific Daily News (www.guampdn.com),LEAST BIASED,HIGH,,,,,,https://www.guampdn.com,,www.guampdn.com
Oyez Project (www.oyez.org),CENTER,HIGH,USA,USA (45/180 Press Freedom),,,HIGH ,https://www.oyez.org,,www.oyez.org
Oregonian (www.oregonlive.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,High Traffic,HIGH,https://www.oregonlive.com/,,www.oregonlive.com
Novinite (www.novinite.com),LEAST BIASED,HIGH,Bulgaria,MODERATE FREEDOM,Website,Medium Traffic,HIGH ,https://www.novinite.com,,www.novinite.com
Northwest Indiana Times (www.nwitimes.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH ,https://www.nwitimes.com,,www.nwitimes.com
Northwest Florida Daily News (nwfdailynews.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Newspaper,Medium Traffic,HIGH,https://nwfdailynews.com,,nwfdailynews.com
North Korea Times (www.northkoreatimes.com),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Minimal Traffic,HIGH ,https://www.northkoreatimes.com,,www.northkoreatimes.com
Norfolk Daily News,LEAST BIASED,HIGH,,,,,,https://www.campaignmoney.com,,www.campaignmoney.com
Noozhawk (www.noozhawk.com),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Medium Traffic,HIGH ,https://www.noozhawk.com,,www.noozhawk.com
No Labels (www.nolabels.org),CENTER,HIGH,USA,USA (44/180 Press Freedom),,Minimal Traffic,HIGH ,https://www.nolabels.org,,www.nolabels.org
NK News (www.nknews.org),CENTER,HIGH,USA,MOSTLY FREEDOM,Website,Medium Traffic,HIGH ,https://www.nknews.org,,www.nknews.org
NextGOV (www.nextgov.com),CENTER,HIGH,USA,,,,,https://www.nextgov.com,,www.nextgov.com
